,0 AC,1 AC,10 AC,11 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
16,5051.405643348844,5568.550849093452,10583.384941741253,10344.592245893778,3633.6198962355124,4064.441569569734,25416.799951918045,3107.301076875211,33339.765052828094,20600.74683339682,7659.497436006459,10035.046258682762
17,5234.327927701541,5809.77846474459,10534.803864865706,10290.242940246577,3837.3245443970486,4068.1393634981087,26170.484555012565,3281.34782026675,34745.267801067544,20366.196631632756,7755.143889285919,9995.58185144299
18,5622.993452869424,5945.223567416272,10455.033561742166,10263.343323349025,3809.888259700556,4168.567203305981,33295.88982663996,3393.3089466464294,34933.66909984947,20285.731651193353,8019.2226410978465,10011.614920931472
19,5742.78312505547,5732.979026903028,10474.025601155014,10058.640814060904,3668.8911868376354,4208.342921000692,36343.00111668204,3314.055771627388,34008.61387960917,21092.418710074286,7720.955905565612,9905.059078652626
20,5752.888556839759,5460.189271026507,10166.147772223638,9875.234589565584,3623.839922585361,4254.49960661275,35951.67629834042,3278.0008757467517,32724.67597968402,20116.194941729947,7393.232337106825,9788.797787733412
21,5669.374703869959,5688.476469194862,9426.698440932798,9585.85426343064,3675.3172419672883,4367.122569657861,27108.169204310023,3261.0111048351564,33732.55027985159,19886.24789741334,7037.659759093769,9596.666582359594
22,5917.258291425334,6315.050773043353,8850.320928249297,9604.758508643532,3585.91815130361,4665.976026210025,23889.856995342554,3479.9298583417744,34233.82365835877,20659.272951235907,7554.668235992204,9618.24890189626
23,5913.254268128854,6014.003214049874,8150.993919819125,9339.151022132035,3543.7302576952625,4664.884905573076,21831.91980946493,3396.2305259204154,34001.3490480366,24734.489774782505,7209.814325045918,9410.412500038898
24,7377.203967339849,5547.301092975322,8971.53018592536,11284.754866276146,3620.753985741896,4776.088709363991,19055.119936487143,3372.8964375806427,33737.877823004805,25129.366619178116,7477.135283159963,9675.683374334732
25,7207.829913541594,5389.2143210304785,8709.552956625099,11205.379361273193,3564.6794029136427,4732.11213924286,17428.239372865995,3296.910759440923,32959.08787842554,23792.459051148773,7300.038694999517,9603.417513531203
