name,scn_name,bus,carrier,p_set
51941 central_heat,eGon2035,51941,central_heat,0.0
51949 central_heat,eGon2035,51949,central_heat,0.0
51954 central_heat,eGon2035,51954,central_heat,0.0
52005 central_heat,eGon2035,52005,central_heat,0.0
52013 central_heat,eGon2035,52013,central_heat,0.0
52016 central_heat,eGon2035,52016,central_heat,0.0
52023 rural_heat,eGon2035,52023,rural_heat,0.0
6 AC,eGon2035,6,AC,0.0
6 H2_for_industry,eGon2035,6,H2_for_industry,1651.7463891666666
69893 land transport EV,eGon2035,69893,land transport EV,0.0
7 AC,eGon2035,7,AC,0.0
7 H2_for_industry,eGon2035,7,H2_for_industry,1726.8721004166664
72027 rural_gas_boiler,eGon2035,72027,rural_gas_boiler,0.0
72028 CH4_for_industry,eGon2035,72028,CH4_for_industry,0.0
72028 rural_gas_boiler,eGon2035,72028,rural_gas_boiler,0.0
72029 CH4_for_industry,eGon2035,72029,CH4_for_industry,0.0
72029 rural_gas_boiler,eGon2035,72029,rural_gas_boiler,0.0
72030 CH4_for_industry,eGon2035,72030,CH4_for_industry,0.0
72030 rural_gas_boiler,eGon2035,72030,rural_gas_boiler,0.0
72031 CH4_for_industry,eGon2035,72031,CH4_for_industry,0.0
72031 rural_gas_boiler,eGon2035,72031,rural_gas_boiler,0.0
72032 CH4_for_industry,eGon2035,72032,CH4_for_industry,0.0
72032 rural_gas_boiler,eGon2035,72032,rural_gas_boiler,0.0
72033 CH4_for_industry,eGon2035,72033,CH4_for_industry,0.0
72033 rural_gas_boiler,eGon2035,72033,rural_gas_boiler,0.0
72034 CH4_for_industry,eGon2035,72034,CH4_for_industry,0.0
72034 rural_gas_boiler,eGon2035,72034,rural_gas_boiler,0.0
72035 CH4_for_industry,eGon2035,72035,CH4_for_industry,0.0
72035 rural_gas_boiler,eGon2035,72035,rural_gas_boiler,0.0
72036 CH4_for_industry,eGon2035,72036,CH4_for_industry,0.0
72036 rural_gas_boiler,eGon2035,72036,rural_gas_boiler,0.0
72037 CH4_for_industry,eGon2035,72037,CH4_for_industry,0.0
72037 rural_gas_boiler,eGon2035,72037,rural_gas_boiler,0.0
72038 CH4_for_industry,eGon2035,72038,CH4_for_industry,0.0
72038 rural_gas_boiler,eGon2035,72038,rural_gas_boiler,0.0
72039 CH4_for_industry,eGon2035,72039,CH4_for_industry,0.0
72039 rural_gas_boiler,eGon2035,72039,rural_gas_boiler,0.0
72040 CH4_for_industry,eGon2035,72040,CH4_for_industry,0.0
72040 rural_gas_boiler,eGon2035,72040,rural_gas_boiler,0.0
72041 CH4_for_industry,eGon2035,72041,CH4_for_industry,0.0
72041 rural_gas_boiler,eGon2035,72041,rural_gas_boiler,0.0
72042 CH4_for_industry,eGon2035,72042,CH4_for_industry,0.0
72042 rural_gas_boiler,eGon2035,72042,rural_gas_boiler,0.0
72043 CH4_for_industry,eGon2035,72043,CH4_for_industry,0.0
72043 rural_gas_boiler,eGon2035,72043,rural_gas_boiler,0.0
72044 CH4_for_industry,eGon2035,72044,CH4_for_industry,0.0
72044 rural_gas_boiler,eGon2035,72044,rural_gas_boiler,0.0
72045 CH4_for_industry,eGon2035,72045,CH4_for_industry,0.0
72045 rural_gas_boiler,eGon2035,72045,rural_gas_boiler,0.0
72046 CH4_for_industry,eGon2035,72046,CH4_for_industry,0.0
72046 rural_gas_boiler,eGon2035,72046,rural_gas_boiler,0.0
72047 CH4_for_industry,eGon2035,72047,CH4_for_industry,0.0
72047 rural_gas_boiler,eGon2035,72047,rural_gas_boiler,0.0
72048 CH4_for_industry,eGon2035,72048,CH4_for_industry,0.0
72048 rural_gas_boiler,eGon2035,72048,rural_gas_boiler,0.0
72049 CH4_for_industry,eGon2035,72049,CH4_for_industry,0.0
72049 rural_gas_boiler,eGon2035,72049,rural_gas_boiler,0.0
72050 CH4_for_industry,eGon2035,72050,CH4_for_industry,0.0
72050 rural_gas_boiler,eGon2035,72050,rural_gas_boiler,0.0
72051 CH4_for_industry,eGon2035,72051,CH4_for_industry,0.0
72051 rural_gas_boiler,eGon2035,72051,rural_gas_boiler,0.0
72052 CH4_for_industry,eGon2035,72052,CH4_for_industry,0.0
72052 rural_gas_boiler,eGon2035,72052,rural_gas_boiler,0.0
72053 CH4_for_industry,eGon2035,72053,CH4_for_industry,0.0
72053 rural_gas_boiler,eGon2035,72053,rural_gas_boiler,0.0
72054 CH4_for_industry,eGon2035,72054,CH4_for_industry,0.0
72054 rural_gas_boiler,eGon2035,72054,rural_gas_boiler,0.0
72055 CH4_for_industry,eGon2035,72055,CH4_for_industry,0.0
72055 rural_gas_boiler,eGon2035,72055,rural_gas_boiler,0.0
72056 CH4_for_industry,eGon2035,72056,CH4_for_industry,0.0
