name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
1130,eGon2035,65118,51093,central_heat_store_discharger,0.030412460134085356,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.030412460134085356,DE,inf,False,,,0.0,,,1.0,1.0
1131,eGon2035,65133,51108,central_heat_store_discharger,0.03777091261076772,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03777091261076772,DE,inf,False,,,0.0,,,1.0,1.0
1132,eGon2035,65142,51117,central_heat_store_discharger,0.04116915250670177,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.04116915250670177,DE,inf,False,,,0.0,,,1.0,1.0
1133,eGon2035,65148,51123,central_heat_store_discharger,0.0344012659190447,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0344012659190447,DE,inf,False,,,0.0,,,1.0,1.0
1134,eGon2035,65160,51135,central_heat_store_discharger,0.1645916726955366,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.1645916726955366,DE,inf,False,,,0.0,,,1.0,1.0
1135,eGon2035,65161,51136,central_heat_store_discharger,0.051035005579662826,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.051035005579662826,DE,inf,False,,,0.0,,,1.0,1.0
1136,eGon2035,65175,51150,central_heat_store_discharger,0.028941880439424444,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.028941880439424444,DE,inf,False,,,0.0,,,1.0,1.0
1137,eGon2035,65195,51170,central_heat_store_discharger,16.114861887279208,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,16.114861887279208,DE,inf,False,,,0.0,,,1.0,1.0
1138,eGon2035,65296,51271,central_heat_store_discharger,0.03129001753371727,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03129001753371727,DE,inf,False,,,0.0,,,1.0,1.0
1139,eGon2035,65300,51275,central_heat_store_discharger,0.035776793591855954,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.035776793591855954,DE,inf,False,,,0.0,,,1.0,1.0
1140,eGon2035,65309,51284,central_heat_store_discharger,0.03548329717090968,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03548329717090968,DE,inf,False,,,0.0,,,1.0,1.0
1141,eGon2035,65311,51286,central_heat_store_discharger,0.037170544768582094,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.037170544768582094,DE,inf,False,,,0.0,,,1.0,1.0
1142,eGon2035,65374,51349,central_heat_store_discharger,0.03550117849397369,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03550117849397369,DE,inf,False,,,0.0,,,1.0,1.0
1143,eGon2035,65390,51365,central_heat_store_discharger,0.02893933322132061,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.02893933322132061,DE,inf,False,,,0.0,,,1.0,1.0
1144,eGon2035,65409,51384,central_heat_store_discharger,0.027151913475003973,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.027151913475003973,DE,inf,False,,,0.0,,,1.0,1.0
