name,scn_name,bus,carrier,e_nom,e_nom_max,e_initial,capital_cost,e_nom_opt
64002 central_heat_store,eGon2035,64002,central_heat_store,69.44933050194842,inf,31.817449466470503,0.7075806700525911,69.44933050194842
64038 central_heat_store,eGon2035,64038,central_heat_store,71.44370608235727,inf,33.7049153127948,0.7075806700525911,71.44370608235727
64110 central_heat_store,eGon2035,64110,central_heat_store,72.53936564524989,inf,34.813726616590216,0.7075806700525911,72.53936564524989
64159 central_heat_store,eGon2035,64159,central_heat_store,74.7213541083647,inf,36.96334658090626,0.7075806700525911,74.7213541083647
64227 central_heat_store,eGon2035,64227,central_heat_store,74.723428040059,inf,36.80729795059472,0.7075806700525911,74.723428040059
64389 central_heat_store,eGon2035,64389,central_heat_store,74.75892433296966,inf,37.0101152579942,0.7075806700525911,74.75892433296966
64391 central_heat_store,eGon2035,64391,central_heat_store,74.82532081822382,inf,36.67065567902064,0.7075806700525911,74.82532081822382
64444 central_heat_store,eGon2035,64444,central_heat_store,74.72589378548325,inf,36.96835528355565,0.7075806700525911,74.72589378548325
64497 central_heat_store,eGon2035,64497,central_heat_store,74.04903012222144,inf,36.49411826976619,0.7075806700525911,74.04903012222144
64533 central_heat_store,eGon2035,64533,central_heat_store,74.58511166225165,inf,36.835892829064406,0.7075806700525911,74.58511166225165
64581 central_heat_store,eGon2035,64581,central_heat_store,74.76737703477328,inf,35.655899229871565,0.7075806700525911,74.76737703477328
64593 central_heat_store,eGon2035,64593,central_heat_store,74.74856961036654,inf,36.98325172724318,0.7075806700525911,74.74856961036654
64605 central_heat_store,eGon2035,64605,central_heat_store,74.75361075923801,inf,37.071710081096725,0.7075806700525911,74.75361075923801
64610 central_heat_store,eGon2035,64610,central_heat_store,74.76649054146908,inf,37.03327754992465,0.7075806700525911,74.76649054146908
64670 central_heat_store,eGon2035,64670,central_heat_store,74.76087662642352,inf,37.00952646014512,0.7075806700525911,74.76087662642352
64715 central_heat_store,eGon2035,64715,central_heat_store,74.72992180804889,inf,36.97702720438672,0.7075806700525911,74.72992180804889
64754 central_heat_store,eGon2035,64754,central_heat_store,74.73428849492026,inf,36.99044478331383,0.7075806700525911,74.73428849492026
64759 central_heat_store,eGon2035,64759,central_heat_store,72.81481433395311,inf,35.104433013151514,0.7075806700525911,72.81481433395311
64839 central_heat_store,eGon2035,64839,central_heat_store,74.72302919547624,inf,36.97297410003298,0.7075806700525911,74.72302919547624
64851 central_heat_store,eGon2035,64851,central_heat_store,74.64257446827503,inf,36.910646262218584,0.7075806700525911,74.64257446827503
64857 central_heat_store,eGon2035,64857,central_heat_store,75.16555422527594,inf,33.182713447338664,0.7075806700525911,75.16555422527594
64874 central_heat_store,eGon2035,64874,central_heat_store,70.18385275885505,inf,32.45759028437997,0.7075806700525911,70.18385275885505
64883 central_heat_store,eGon2035,64883,central_heat_store,74.73834364991272,inf,36.98690715324526,0.7075806700525911,74.73834364991272
64914 central_heat_store,eGon2035,64914,central_heat_store,74.72747681194119,inf,36.95836980372636,0.7075806700525911,74.72747681194119
64917 central_heat_store,eGon2035,64917,central_heat_store,70.9868100363386,inf,33.20940554421575,0.7075806700525911,70.9868100363386
64920 central_heat_store,eGon2035,64920,central_heat_store,74.72455140028727,inf,36.97055750805989,0.7075806700525911,74.72455140028727
64986 central_heat_store,eGon2035,64986,central_heat_store,74.7665300452654,inf,37.006413213001565,0.7075806700525911,74.7665300452654
65001 central_heat_store,eGon2035,65001,central_heat_store,74.80284043222315,inf,35.60649011405443,0.7075806700525911,74.80284043222315
65005 central_heat_store,eGon2035,65005,central_heat_store,74.72138077953429,inf,36.96921772784801,0.7075806700525911,74.72138077953429
65006 central_heat_store,eGon2035,65006,central_heat_store,74.76929894109311,inf,36.10645400348664,0.7075806700525911,74.76929894109311
65021 central_heat_store,eGon2035,65021,central_heat_store,253.80374640318655,inf,16.22979235847321,0.7075806700525911,253.80374640318655
65036 central_heat_store,eGon2035,65036,central_heat_store,71.31801239438067,inf,33.58586595826247,0.7075806700525911,71.31801239438067
65065 central_heat_store,eGon2035,65065,central_heat_store,74.74769169642393,inf,36.99283186973895,0.7075806700525911,74.74769169642393
65118 central_heat_store,eGon2035,65118,central_heat_store,74.72167028127879,inf,36.94530453851109,0.7075806700525911,74.72167028127879
65133 central_heat_store,eGon2035,65133,central_heat_store,74.37648355858255,inf,36.63572476218771,0.7075806700525911,74.37648355858255
